id	scene	query	expect_titles	expect_refuse
g-001	售前	女装M码胸围多少	["女装尺码对照与选码"]	false
g-002	售前	165身高穿什么码	["女装尺码对照与选码"]	false
g-003	售前	XL对应多少厘米	["女装尺码对照与选码"]	false
g-004	售前	女装尺码XS多大	["女装尺码对照与选码"]	false
g-005	售前	L码胸围是多少	["女装尺码对照与选码"]	false
g-006	售前	男装S码适合多高	["男装尺码对照与选码"]	false
g-007	售前	男款175选什么码	["男装尺码对照与选码"]	false
g-008	售前	男装2XL尺寸	["男装尺码对照与选码"]	false
g-009	售前	男生XL是180吗	["男装尺码对照与选码"]	false
g-010	售前	童装几岁穿110	["童装尺码对照与选码"]	false
g-011	售前	小孩身高120穿多大	["童装尺码对照与选码"]	false
g-012	售前	童装140对应几岁	["童装尺码对照与选码"]	false
g-013	售前	宝宝选码按什么	["童装尺码对照与选码"]	false
g-014	售前	修身版型怎么选码	["版型偏好与选码（修身/常规/宽松）"]	false
g-015	售前	宽松款偏大吗	["版型偏好与选码（修身/常规/宽松）"]	false
g-016	售前	两码之间选大还是小	["版型偏好与选码（修身/常规/宽松）"]	false
g-017	售前	久坐办公选码建议	["版型偏好与选码（修身/常规/宽松）", "特殊体型选码建议"]	false
g-018	售前	腰腹突出怎么穿	["特殊体型选码建议"]	false
g-019	售前	苹果型身材选码	["特殊体型选码建议"]	false
g-020	售前	梨型体型怎么挑	["特殊体型选码建议"]	false
g-021	售前	纯棉会缩水吗	["常见面料成分与特性"]	false
g-022	售前	聚酯纤维是什么面料	["常见面料成分与特性"]	false
g-023	售前	莫代尔和棉哪个好	["常见面料成分与特性"]	false
g-024	售前	深色衣服掉色吗	["常见面料成分与特性", "牛仔洗护与保养"]	false
g-025	售前	真丝有什么特性	["常见面料成分与特性"]	false
g-026	售前	纯棉T恤怎么洗	["纯棉T恤洗护指南"]	false
g-027	售前	T恤机洗水温多少	["纯棉T恤洗护指南"]	false
g-028	售前	第一次洗掉色正常吗	["纯棉T恤洗护指南"]	false
g-029	售前	T恤反面洗什么意思	["纯棉T恤洗护指南"]	false
g-030	售前	羽绒服能机洗吗	["羽绒羊毛洗护指南"]	false
g-031	售前	羊毛衫怎么保养	["羽绒羊毛洗护指南"]	false
g-032	售前	羽绒洗完不蓬松怎么办	["羽绒羊毛洗护指南"]	false
g-033	售前	干洗还是水洗羽绒	["羽绒羊毛洗护指南"]	false
g-034	售前	牛仔裤第一次洗要注意什么	["牛仔洗护与保养"]	false
g-035	售前	牛仔掉浮色怎么办	["牛仔洗护与保养"]	false
g-036	售前	深色牛仔能混洗吗	["牛仔洗护与保养"]	false
g-037	售前	满减和优惠券能叠加吗	["优惠叠加规则"]	false
g-038	售前	优惠计算顺序是什么	["优惠叠加规则"]	false
g-039	售前	积分能抵多少钱	["优惠叠加规则", "会员等级与积分规则"]	false
g-040	售前	运费险和包邮同时生效吗	["优惠叠加规则", "运费模板与包邮规则"]	false
g-041	售前	V1会员要多少积分	["会员等级与积分规则"]	false
g-042	售前	买东西怎么攒积分	["会员等级与积分规则"]	false
g-043	售前	退款会扣积分吗	["会员等级与积分规则"]	false
g-044	售前	会员等级有哪些	["会员等级与积分规则"]	false
g-045	售前	优惠券在哪领	["优惠券领取使用与核销"]	false
g-046	售前	券领完还能再领吗	["优惠券领取使用与核销"]	false
g-047	售前	券有有效期吗	["优惠券领取使用与核销"]	false
g-048	售前	直播间价格不一样怎么办	["直播拼团分销规则"]	false
g-049	售前	拼团没成团怎么退	["直播拼团分销规则"]	false
g-050	售前	主播说的价能补差价吗	["直播拼团分销规则"]	false
g-051	售中	多少金额包邮	["运费模板与包邮规则"]	false
g-052	售中	首重续重怎么算	["运费模板与包邮规则"]	false
g-053	售中	偏远地区包邮门槛	["运费模板与包邮规则"]	false
g-054	售中	不满99运费多少	["运费模板与包邮规则"]	false
g-055	售中	什么时候发货	["发货时效承诺"]	false
g-056	售中	现货多久发货	["发货时效承诺"]	false
g-057	售中	预售从什么时候算	["发货时效承诺"]	false
g-058	售中	大促发货会延迟吗	["发货时效承诺", "物流追踪与节点说明"]	false
g-059	售中	下单两天了还没发	["发货时效承诺", "改地址与催发货"]	false
g-060	售中	物流节点代表什么意思	["物流追踪与节点说明"]	false
g-061	售中	已揽收是发出去了吗	["物流追踪与节点说明"]	false
